Order_ID,Order_Date,Shipping_Date,Delivery_Date,Expected_Delivery_Date,Warehouse_Location,Customer_Location,Shipping_Mode,Order_Priority,Distance_km,Order_Quantity,Order_Value_INR,Delayed
ORD-00001,2023-10-17,2023-10-19,2023-10-22,2023-10-22,Chennai,Visakhapatnam,Express,High,910.0,148,44852.77,0
ORD-00002,2022-04-25,2022-04-27,2022-04-30,2022-05-02,Ahmedabad,Bhubaneswar,Standard,Medium,,176,43147.43,0
ORD-00003,2022-01-26,2022-01-28,2022-02-01,2022-02-02,Mumbai,Patna,Standard,Critical,1180.0,72,8619.98,0
ORD-00004,2022-10-09,2022-10-10,2022-10-12,2022-10-15,Mumbai,Jaipur,Standard,Critical,1145.0,65,1785.07,0
ORD-00005,2022-09-08,2022-09-12,2022-09-17,2022-09-17,Chennai,Bhubaneswar,Standard,Low,1688.0,51,4954.29,0
ORD-00006,2022-08-17,2022-08-19,2022-08-25,2022-08-22,Chennai,Bhopal,Express,Low,2219.0,171,14684.1,1
ORD-00007,2022-05-23,2022-05-23,2022-05-24,2022-05-26,Hyderabad,Surat,Express,Critical,516.0,49,48626.86,0
ORD-00008,2022-04-15,2022-04-18,2022-04-24,2022-04-21,Delhi,Visakhapatnam,Express,Critical,1288.0,153,28146.55,1
ORD-00009,2023-11-24,2023-11-26,2023-11-28,2023-12-01,Bangalore,Kochi,Standard,Low,380.0,74,18976.46,0
ORD-00010,2023-07-13,2023-07-21,2023-07-26,2023-07-26,Kolkata,Nagpur,Standard,High,1532.0,169,44491.45,0
ORD-00011,2022-03-31,2022-04-07,2022-04-12,2022-04-10,Mumbai,Visakhapatnam,Express,Medium,2185.0,199,22930.25,1
ORD-00012,2023-08-28,2023-08-30,2023-08-31,2023-09-02,Kolkata,Bhopal,Express,Medium,180.0,192,16104.31,0
ORD-00013,2023-03-09,2023-03-13,2023-03-16,2023-03-16,Hyderabad,Jaipur,Express,High,1735.0,189,47090.37,0
ORD-00014,2022-02-02,2022-02-07,2022-02-11,2022-02-12,Mumbai,Visakhapatnam,Standard,Low,819.0,12,42551.12,0
ORD-00015,2022-01-31,2022-02-02,2022-02-14,2022-02-10,Hyderabad,Chandigarh,Economy,Critical,2441.0,104,42261.58,1
ORD-00016,2022-04-06,2022-04-09,2022-04-13,2022-04-14,Hyderabad,Bhubaneswar,Standard,Medium,1565.0,81,25858.09,0
ORD-00017,2022-08-12,2022-08-15,2022-08-19,2022-08-18,Pune,Patna,Express,High,2483.0,197,39577.2,1
ORD-00018,2022-08-27,2022-08-30,2022-09-01,2022-09-02,Chennai,Patna,Express,Medium,1265.0,127,9377.99,0
ORD-00019,2023-06-02,2023-06-04,2023-06-06,2023-06-07,Ahmedabad,Chandigarh,Express,Medium,1005.0,14,28874.54,0
ORD-00020,2023-09-09,2023-09-14,2023-09-24,2023-09-19,Pune,Jaipur,Standard,High,,34,49200.37,1
ORD-00021,2022-01-28,2022-01-30,2022-01-31,2022-02-02,Bangalore,Patna,Express,Low,1234.0,48,14902.44,0
