Order_ID,Order_Date,Shipping_Date,Delivery_Date,Expected_Delivery_Date,Warehouse_Location,Customer_Location,Shipping_Mode,Order_Priority,Distance_km,Distance_Category,Order_Quantity,Order_Value_INR,Actual_Delivery_Days,Expected_Delivery_Days,Delay_Days,Is_Peak_Season,Is_Weekend,Order_Month,Delayed,Delay_Status
ORD-00001,2023-10-17,2023-10-19,2023-10-22,2023-10-22,Chennai,Visakhapatnam,Express,High,910.0,Long,148,44852.77,5,5,0,1,0,10,0,On Time
ORD-00002,2022-04-25,2022-04-27,2022-04-30,2022-05-02,Ahmedabad,Bhubaneswar,Standard,Medium,,,176,43147.43,5,7,-2,0,0,4,0,On Time
ORD-00003,2022-01-26,2022-01-28,2022-02-01,2022-02-02,Mumbai,Patna,Standard,Critical,1180.0,Long,72,8619.98,6,7,-1,0,0,1,0,On Time
ORD-00004,2022-10-09,2022-10-10,2022-10-12,2022-10-15,Mumbai,Jaipur,Standard,Critical,1145.0,Long,65,1785.07,3,6,-3,1,1,10,0,On Time
ORD-00005,2022-09-08,2022-09-12,2022-09-17,2022-09-17,Chennai,Bhubaneswar,Standard,Low,1688.0,Very Long,51,4954.29,9,9,0,0,0,9,0,On Time
ORD-00006,2022-08-17,2022-08-19,2022-08-25,2022-08-22,Chennai,Bhopal,Express,Low,2219.0,Very Long,171,14684.1,8,5,3,0,0,8,1,Delayed
ORD-00007,2022-05-23,2022-05-23,2022-05-24,2022-05-26,Hyderabad,Surat,Express,Critical,516.0,Medium,49,48626.86,1,3,-2,0,0,5,0,On Time
ORD-00008,2022-04-15,2022-04-18,2022-04-24,2022-04-21,Delhi,Visakhapatnam,Express,Critical,1288.0,Long,153,28146.55,9,6,3,0,0,4,1,Delayed
ORD-00009,2023-11-24,2023-11-26,2023-11-28,2023-12-01,Bangalore,Kochi,Standard,Low,380.0,Medium,74,18976.46,4,7,-3,1,0,11,0,On Time
ORD-00010,2023-07-13,2023-07-21,2023-07-26,2023-07-26,Kolkata,Nagpur,Standard,High,1532.0,Very Long,169,44491.45,13,13,0,0,0,7,0,On Time
ORD-00011,2022-03-31,2022-04-07,2022-04-12,2022-04-10,Mumbai,Visakhapatnam,Express,Medium,2185.0,Very Long,199,22930.25,12,10,2,0,0,3,1,Delayed
ORD-00012,2023-08-28,2023-08-30,2023-08-31,2023-09-02,Kolkata,Bhopal,Express,Medium,180.0,Short,192,16104.31,3,5,-2,0,0,8,0,On Time
ORD-00013,2023-03-09,2023-03-13,2023-03-16,2023-03-16,Hyderabad,Jaipur,Express,High,1735.0,Very Long,189,47090.37,7,7,0,0,0,3,0,On Time
ORD-00014,2022-02-02,2022-02-07,2022-02-11,2022-02-12,Mumbai,Visakhapatnam,Standard,Low,819.0,Long,12,42551.12,9,10,-1,0,0,2,0,On Time
ORD-00015,2022-01-31,2022-02-02,2022-02-14,2022-02-10,Hyderabad,Chandigarh,Economy,Critical,2441.0,Very Long,104,42261.58,14,10,4,0,0,1,1,Delayed
ORD-00016,2022-04-06,2022-04-09,2022-04-13,2022-04-14,Hyderabad,Bhubaneswar,Standard,Medium,1565.0,Very Long,81,25858.09,7,8,-1,0,0,4,0,On Time
ORD-00017,2022-08-12,2022-08-15,2022-08-19,2022-08-18,Pune,Patna,Express,High,2483.0,Very Long,197,39577.2,7,6,1,0,0,8,1,Delayed
ORD-00018,2022-08-27,2022-08-30,2022-09-01,2022-09-02,Chennai,Patna,Express,Medium,1265.0,Long,127,9377.99,5,6,-1,0,1,8,0,On Time
ORD-00019,2023-06-02,2023-06-04,2023-06-06,2023-06-07,Ahmedabad,Chandigarh,Express,Medium,1005.0,Long,14,28874.54,4,5,-1,0,0,6,0,On Time
ORD-00020,2023-09-09,2023-09-14,2023-09-24,2023-09-19,Pune,Jaipur,Standard,High,,,34,49200.37,15,10,5,0,1,9,1,Delayed
ORD-00021,2022-01-28,2022-01-30,2022-01-31,2022-02-02,Bangalore,Patna,Express,Low,1234.0,Long,48,14902.44,3,5,-2,0,0,1,0,On Time
ORD-00022,2023-07-29,2023-08-01,2023-08-02,2023-08-02,Kolkata,Visakhapatnam,Same Day,Medium,509.0,Medium,61,39820.44,4,4,0,0,1,7,0,On Time
ORD-00023,2022-07-23,2022-07-24,2022-07-25,2022-07-29,Ahmedabad,Indore,Standard,Medium,71.0,Short,35,24778.68,2,6,-4,0,1,7,0,On Time
ORD-00024,2023-10-28,2023-10-29,2023-11-03,2023-11-03,Kolkata,Agra,Standard,Low,2350.0,Very Long,119,2470.38,6,6,0,1,1,10,0,On Time
ORD-00025,2023-12-20,2023-12-25,2023-12-26,2023-12-30,Chennai,Coimbatore,Standard,High,797.0,Medium,65,38269.46,6,10,-4,1,0,12,0,On Time
ORD-00026,2023-07-13,2023-07-14,2023-07-16,2023-07-22,Ahmedabad,Patna,Economy,Medium,524.0,Medium,59,8844.17,3,9,-6,0,0,7,0,On Time
ORD-00027,2023-03-06,2023-03-08,2023-03-11,2023-03-13,Pune,Vadodara,Standard,Medium,1132.0,Long,36,31757.94,5,7,-2,0,0,3,0,On Time
ORD-00028,2022-08-14,2022-08-18,2022-08-29,2022-08-26,Kolkata,Coimbatore,Economy,Medium,2097.0,Very Long,147,4740.38,15,12,3,0,1,8,1,Delayed
ORD-00029,2023-04-05,2023-04-05,2023-04-07,2023-04-08,Pune,Kochi,Express,Medium,1025.0,Long,42,47369.94,2,3,-1,0,0,4,0,On Time
ORD-00030,2023-08-27,2023-08-29,2023-09-06,2023-09-06,Chennai,Indore,Economy,Low,1856.0,Very Long,69,14940.33,10,10,0,0,1,8,0,On Time
ORD-00031,2022-10-12,2022-10-17,2022-10-19,2022-10-25,Ahmedabad,Lucknow,Economy,Medium,239.0,Short,147,11710.0,7,13,-6,1,0,10,0,On Time
